"Product Line","SFDALicense:ProductCNname","SFDALicense:Product EN name","SFDALicense: First Approved Date","Abbr.","REF","SMN","EAN/UPC(DI)","最小销售单元中使用单元的数量","Unit of Use Device Identifier","Package","SFDALicense","Approved Date","Effective Date","SFDALicense:ExpiredDate","SFDALicense:Chinese name of Certificate Holder","SFDALicense:English name of Certificate Holder","SFDALicense:Certificate Holder","SFDALicense:Holder's Address","SFDALicense:Holder's Address2","manufacture's Address","Manufacturer city","IFU valid from Date","IFU valid to Date","CN IFU IssuedDate","Label valid from Date","Label valid to Date","CN Label IssuedDate","Reviewer","ReviewDate","EN IFU Version","EXP(Month)","RA Check Status","CER History (FY-TYPE-Class-CER)","Status","SFDALicense:产品类别(设备/耗材)","SFDALicense:器械类别(器械/体外诊断)","SFDALicense:代理人住所","SFDALicense:代理人名称","SFDALicense:IVD注册申请表分类","SFDALicense:备注(注册证备注信息)","SFDALicense: Abbreviation","SFDALicense:生产标识是否包含失效日期","SFDALicense:生产标识是否包含序列号","SFDALicense:生产标识是否包含批号","SFDALicense:生产标识是否包含生产日期","UDI Database Add/Updated","RA Owner","Released IFU Date","Change EN VS CN","Released IFU no.","Released Label No.","Released Label Date","UDI Database Description","Change Description","ID","Modified","Modified By","BU","License"
"Immulite 1000/2000","降钙素质控品","IMMULITE Calcitonin Control Module","2011-03-15","LCLCM","LCLCM","10385383","00630414953120","1",,"2×3mL(复溶后)","国械注进20182402437","2023-03-14","2023-10-12","2028-10-11","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","2023-10-12","2028-10-11",,"2023-10-12","2028-10-11",,,,"PILCLCM-23,2013-02-23","36",,"2019_Renewal_II_国械注进20182402437","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司"," ","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","LCLCM","是","否","是","否",,,"2018-10-22",,,,,,,"4926","2023-03-20 17:07","TANG, XU","CAI","国械注进20182402437"
"ADVIA Chem","糖化血红蛋白测定试剂盒（蛋白酶法）","Enzymatic Hemoglobin A1c (A1c_E) Assay","2021-04-19","A1c_E","10720857","10720857","00630414002859","1",,"2×150测试/盒(ADVIA 1800/2400/XPT)","国械注进20212400126","2023-02-27","2023-02-27","2026-04-18","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","500 GBC Drive, PO Box 6101, Mailstop 514, Newark, Delaware  19714 UNITED STATES","Newark","2023-02-27","2026-04-18","2023-03-14","2023-02-27","2026-04-18","2023-03-14","Wang Qing","2023-03-09",,"12",,"2021_New Product_II_国械注进20212400126","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司"," "," ","A1c_E","是","否","是","否","NA","Wang Qing","2023-03-14",,"10720857(1800/2400)_SHD_20230227_CNA / 10720857(XPT)_SHD_20230227_CNA","10720857_SHD_20230227_CNB","2023-03-14","NA",,"5150","2023-03-14 14:05","TANG, XU","CAI","国械注进20212400126"
"Immulite 1000/2000","妊娠相关血浆蛋白A质控品","IMMULITE PAPP-A Control Module","2012-06-05","LPCCM","LPCCM","10385317","00630414953274","1",,"2×2mL(复溶后)","国械注进20183401950","2022-04-21","2023-04-20","2028-04-19","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","2023-04-20","2028-04-19","2023-03-14","2023-04-20","2028-04-19","2023-03-14","Song Yuan Yuan","2022-06-17","PILPCCMD-74, 2013-02-23","24",,"2018_Change_III_国械注进20183401950
_Renewal_III_国械注进20183401950","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-001用于蛋白质检测的试剂","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","LPCCM","是","否","是","否","Updated","Song Yuan Yuan","2023-03-14",,"10385317_LPCCM_SHDP_20230420_CNA","10385317_LPCCM_SHDP_20230420_CNB","2023-03-14","注册证有效期更新",,"4930","2023-03-14 14:01","TANG, XU","CAI","国械注进20183401950"
"Atellica CH","糖化血红蛋白测定试剂盒（蛋白酶法）","Enzymatic Hemoglobin A1c (A1c_E) Assay","2021-04-19","A1c_E","11097536","11097536","00630414220505","1",,"2×300测试/盒(Atellica CH)","国械注进20212400126","2023-02-27","2023-02-27","2026-04-18","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","500 GBC Drive, PO Box 6101, Mailstop 514, Newark, Delaware  19714 UNITED STATES","Newark","2023-02-27","2026-04-18","2023-03-14","2023-02-27","2026-04-18","2023-03-14","Wang Qing","2023-03-09",,"12",,"2021_New Product_II_国械注进20212400126","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司"," "," ","A1c_E","是","否","是","否","NA","Wang Qing","2023-03-14",,"11097536_SHD_20230227_CNA","11097536_SHD_20230227_CNB","2023-03-14","NA",,"5151","2023-03-14 14:01","TANG, XU","CAI","国械注进20212400126"
"ADVIA Chem","糖化血红蛋白测定试剂盒（蛋白酶法）","Enzymatic Hemoglobin A1c (A1c_E) Assay","2021-04-19","A1c_E","10720858","10720858","00630414002866","1",,"4×300测试/盒(ADVIA 1800/2400/XPT)","国械注进20212400126","2023-02-27","2023-02-27","2026-04-18","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","500 GBC Drive, PO Box 6101, Mailstop 514, Newark, Delaware  19714 UNITED STATES","Newark","2023-02-27","2026-04-18","2023-03-14","2023-02-27","2026-04-18","2023-03-14","Wang Qing","2023-03-09",,"12",,"2021_New Product_II_国械注进20212400126","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司"," "," ","A1c_E","是","否","是","否","NA","Wang Qing","2023-03-14",,"10720858(1800/2400)_SHD_20230227_CNA / 10720858(XPT)_SHD_20230227_CNA","10720858_SHD_20230227_CNB","2023-03-14","NA",,"5149","2023-03-14 14:00","TANG, XU","CAI","国械注进20212400126"
"POC:Urine","尿液分析校准品","Clinitek Atlas/Novus Calibration Kit","2011-03-30","5018A,5006-Atlas Calibration校准","5018A(07261789)","10311123","00630414373027","1",,"校准品1:230mL/瓶;校准品2:230mL/瓶;校准品3:230mL/瓶;校准品4:230mL/瓶","国械注进20182402645","2023-02-27","2023-12-19","2028-12-18","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, NY 10591, USA","Tarrytown","8365 Valley Pike, Middletown, VA 22645, USA","Middletown USA","2023-12-19","2028-12-18",,"2023-12-19","2028-12-18",,,,"NOT SHOWN","18",,"2019_Renewal_II_国械注进20182402645","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-012用于其他生理、生化或者免疫功能指标检测的试剂","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","5018A,5006-Atlas Calibration校准","是","否","是","否",,,"2022-10-21",,,,,,,"4660","2023-03-08 17:13","TANG, XU","POC","国械注进20182402645"
"POC:Urine","尿液分析校准品","Clinitek Atlas/Novus Calibration Kit","2011-03-30","5018A,5006-Atlas Calibration校准","10697753","10697753","00630414590950","1",,"校准品1:230mL/瓶;校准品2:230mL/瓶;校准品3:230mL/瓶;校准品4:230mL/瓶","国械注进20182402645","2023-02-27","2023-12-19","2028-12-18","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, NY 10591, USA","Tarrytown","8365 Valley Pike, Middletown, VA 22645, USA","Middletown USA","2023-12-19","2028-12-18",,"2023-12-19","2028-12-18",,,,"NOT SHOWN","18",,"2019_Renewal_II_国械注进20182402645","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-012用于其他生理、生化或者免疫功能指标检测的试剂","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","5018A,5006-Atlas Calibration校准","是","否","是","否",,,"2022-10-21",,,,,,,"4661","2023-03-08 17:13","TANG, XU","POC","国械注进20182402645"
"Immulite 1000/2000","促红细胞生成素质控品","IMMULITE EPO Control Module","2011-03-04","LEPCM","LEPCM","10385384","00630414953175","1",,"质控品1(LEPC1):1×2mL(复溶后);质控品2(LEPC2):1×2mL(复溶后);质控品3(LEPC3):1×2mL(复溶后)","国械注进20182402538","2023-02-27","2023-11-19","2028-11-18","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","2023-11-19","2028-11-18",,"2023-11-19","2028-11-18",,,,"PILEPCM-31, 2013-03-08","36",,"2019_Renewal_II_国械注进20182402538","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-003用于激素检测的试剂","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","LEPCM","是","否","是","否",,,,,,,,,,"4922","2023-03-02 16:45","TANG, XU","CAI","国械注进20182402538"
"Immulite 1000/2000","胰岛素样生长因子质控品","IMMULITE IGF-1 Control Module","2011-03-04","LGCOCM","LGCOCM","10385387","00630414953212","1",,"2×4mL(复溶后)","国械注进20182402435","2023-02-27","2023-10-12","2028-10-11","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","2023-10-12","2028-10-11",,"2023-10-12","2028-10-11",,,,"PILGCOCM-56, 2013-11-08","36",,"2019_Renewal_II_国械注进20182402435","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-001用于蛋白质检测的试剂","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","LGCOCM","是","否","是","否",,,,,,,,,,"4924","2023-03-02 16:45","TANG, XU","CAI","国械注进20182402435"
"Atellica IM","白介素-6质控品","Interleukin-6 (IL6) Quality Control","2021-11-24","IL6 QC","10733014","10733014","00630414245850","1",,"水平1质控品:1×7.0mL/瓶(复溶后),水平2质控品:1×7.0mL/瓶(复溶后),水平3质控品:1×7.0mL/瓶(复溶后)。(Atellica IM系列)","国械注进20212400469","2022-04-14","2022-04-14","2026-11-23","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, NY, 10591, United States","Tarrytown","Luna Place, The Technology Park, Dundee, DD2 1XA, United Kingdom","Dundee UK","2022-04-14","2026-11-23","2022-05-09","2022-04-14","2026-11-23","2022-05-09","Yu Ying Ying","2022-05-06",,"12",,,"Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-012用于其他生理、生化或者免疫功能指标检测的试剂"," ","IL6 QC","是","否","是","是",,,"2022-05-09",,"10733014_SHD_20220414_CNA","10733014_SHD_20220414_CNB","2022-05-09",,,"5683","2023-02-24 17:00","TANG, XU","CAI","国械注进20212400469"
"PFA","缓冲液Dade PFA Trigger Solution","Dade PFA Trigger Solution","2014-12-15","B4170-50-PFA Trigger","B4170-50","10445701","00842768003691","3","00842768019791","3×11mL","国械备20140315号","2018-12-19","2018-12-19","2999-12-31","德国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products GmbH","SHDPG","Emil-von-Behring-Str. 76, 35041 Marburg, Germany","Marburg","Emil-von-Behring-Str. 76, 35041 Marburg, Germany","Marburg","2018-12-19","2999-12-31","2018-05-16","2018-12-19","2999-12-31","2018-05-16","Chen Ran","2018-05-14","B4170G50E0501(1176) FB 2010-10","24",,"0","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司",,,"B4170-50-PFA Trigger","是","否","是","否","Updated",,"2018-05-15","test","test1","test1","2023-02-22","okok111","123","5551","2023-02-23 16:50","Guo, Yu Hua (ext)","HHS","国械备20140315号"
"Atellica CH","尿液/脑脊液蛋白校准品","Urinary/Cerebrospinal Fluid Protein Calibrator (UCFP CAL)","2022-11-22","UCFP Calibrator","11099339","11099339","00630414279190","10","00630414285320","水平2:2×4.0mL/瓶,水平3:2×4.0mL/瓶,水平4:2×4.0mL/瓶,水平5:2×4.0mL/瓶,水平6:2×4.0mL/瓶。(Atellica CH)","国械注进20222400557","2022-11-22","2022-11-22","2027-11-21","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Ave, Tarrytown, NY, USA 10591","Tarrytown","500 GBC DR, PO Box 6101, NEWARK, DE, USA 19714","Newark","2022-11-22","2027-11-21","2022-12-19","2022-11-22","2027-11-21","2022-12-19","Zhang Tingting","2022-12-19",,"12",,,"Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司",,,"UCFP CAL","是","否","是","否","Add",,"2022-12-19",,"11099339_SHD_20221122_CNA","11099339_SHD_20221122_CNB","2022-12-19","新产品",,"5702","2023-02-22 10:36","ZHOU, HUI","CAI","国械注进20222400557"
"ADVIA Chem","糖化血红蛋白溶血剂","A1c_E Pretreatment Solution","2020-08-25","A1c_E pretreatment documents","10721048","10721048","00630414002880","1",,"1×1.0L","国械备20200480号","2022-12-29","2022-12-29","2999-12-31","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, NY, 10591, United States","Tarrytown","500 GBC Drive, PO Box 6101, Mailstop 514, Newark, Delaware  19714 United States","Newark","2022-12-29","2999-12-31","2023-01-04","2022-12-29","2999-12-31","2023-01-04","Wang Qing","2023-01-04",,"22",,"2020_Filing_I_国械备20200480号","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司"," "," ","A1c_E pretreatment documents","是","否","是","否","Updated",,"2022-12-29",,"10721048_SHD_20221229_CNA","10721048_SHD_20221229_CNB","2023-01-04","主要组成成分更新",,"5144","2023-02-16 11:27","TANG, XU","CAI","国械备20200480号"
"Immulite 2000","总甲状腺素测定试剂盒(化学发光法)","IMMULITE2000 Total  T4","2005-05-24","L2KT4 总甲状腺素测定试剂盒（化学发光发）","L2KT46M","10381661",,"0",,"6000人份/盒","国械注进20172400501","2021-07-08","2021-07-08","2026-07-07","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","2021-07-08","2026-07-07","2021-08-03","2021-07-08","2026-07-07","2021-08-03","Wang Qing","2021-08-03","PIL2KT4-21,2008-07-29","12",,"2017_Renewal_II_国械注进20172400501
2021_Renewal_II_国械注进20172400501","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-003用于激素检测的试剂"," ","L2KT4 总甲状腺素测定试剂盒（化学发光发）","是","否","是","否",,,"2021-08-03",,"10381661_L2KT46M_SHDP_20210708_CNA","10381661_L2KT46M_SHDP_20210708_CNB","2021-08-03",,,"4861","2023-02-15 16:23","TANG, XU","CAI","国械注进20172400501"
"Atellica IM","游离前列腺特异性抗原测定试剂盒(化学发光法)","Free PSA (fPSA)","2022-08-02","fPSA","11203742","11203742","00630414290560","1",,"50测试/盒(Atellica IM系列)","国械注进20223400382","2022-08-02","2022-08-02","2027-08-01","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd, LL55 4EL, United Kingdom","Llanberis","333 Coney Street, East Walpole, Massachusetts 02032, USA","Walpole","2022-08-02","2027-08-01","2022-08-17","2022-08-02","2027-08-01","2022-08-17","Chen Ena","2022-08-17",,"24",,,"Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司",,,"fPSA","是","否","是","否",,,"2022-08-17","1.【预期用途】 加“主要用于对恶性肿瘤患者进行动态监测以辅助判断疾病进程或治疗效果，不能作为恶性肿瘤早期诊断或确诊的依据，不用于普通人群的肿瘤筛查。” 2. Intended Use 删“ The percent free PSA value can be used as an aid in discriminating between prostate cancer and benign prostatic disease. Prostate biopsy is required for the diagnosis of prostate cancer.” 3. Summary and Explanation 删“The percentage of free PSA determined by comparing the concentration of free PSA to the concentration of total PSA measured on the same instrument has been proposed as a way to improve the discrimination between BPH and prostate cancer in those men with levels of total PSA between 4–10 ng/mL. 4.未提供的必须材料： 游离前列腺特异性抗原校准品 加“（国械注进20213400073）” 5. 可选试剂 加“含游离前列腺特异性抗原的市售商用质控品如伯乐 肿瘤标记质控物 (国械注进20173401888) 水平1 6×2 mL 水平2 6×2 mL 水平3 6×2 mL 三水平小包装3 × 2 mL 免疫分析质控物 (国械注进20142406217) 三水平 12×5mL 水平1 12×5mL 水平2 12×5mL 水平3 12×5mL 三水平小包装 3×5mL”","11203742_SHDP_20220802_CNA","11203742_SHDP_20220802_CNB","2022-08-17",,,"5671","2023-02-14 16:44","TANG, XU","CAI","国械注进20223400382"
"Centaur","游离前列腺特异性抗原测定试剂盒(化学发光法)","Free PSA (fPSA)","2022-08-02","fPSA","11200507","11200507","00630414224589","1",,"50测试/盒(ADVIA Centaur系列)","国械注进20223400382","2022-08-02","2022-08-02","2027-08-01","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd, LL55 4EL, United Kingdom","Llanberis","333 Coney Street, East Walpole, Massachusetts 02032, USA","Walpole","2022-08-02","2027-08-01","2022-08-17","2022-08-02","2027-08-01","2022-08-17","Chen Ena","2022-08-17",,"24",,,"Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司",,,"fPSA","是","否","是","否",,,"2022-08-17","1.【预期用途】 加“主要用于对恶性肿瘤患者进行动态监测以辅助判断疾病进程或治疗效果，不能作为恶性肿瘤早期诊断或确诊的依据，不用于普通人群的肿瘤筛查。” 2. Intended Use 删“ The percent free PSA value can be used as an aid in discriminating between prostate cancer and benign prostatic disease. Prostate biopsy is required for the diagnosis of prostate cancer.” 3. Summary and Explanation 删“The percentage of free PSA determined by comparing the concentration of free PSA to the concentration of total PSA measured on the same instrument has been proposed as a way to improve the discrimination between BPH and prostate cancer in those men with levels of total PSA between 4–10 ng/mL. 4.未提供的必须材料： 游离前列腺特异性抗原校准品 加“（国械注进20213400073）” 5. 可选试剂 加“含游离前列腺特异性抗原的市售商用质控品如伯乐 肿瘤标记质控物 (国械注进20173401888) 水平1 6×2 mL 水平2 6×2 mL 水平3 6×2 mL 三水平小包装3 × 2 mL 免疫分析质控物 (国械注进20142406217) 三水平 12×5mL 水平1 12×5mL 水平2 12×5mL 水平3 12×5mL 三水平小包装 3×5mL”","11200507_SHDP_20220802_CNA","11200507_SHDP_20220802_CNB","2022-08-17",,,"5673","2023-02-14 16:44","TANG, XU","CAI","国械注进20223400382"
"Automation","全自动样品处理系统","Aptio Automation","2012-06-12","Aptio","11266636","11266636","07640172342008","1",,"Aptio Automation","国械备20161207号","2020-01-16","2020-01-16","2999-12-31","验必科集团瑞士总部","Inpeco S.A.","Inpeco S.A.","VIA TORRACCIA 26 CH-6883 NOVAZZANO","NOVAZZANO","VIA GIVOLETTO 15 I-10040 VAL DELLA TORRE(TO), ITALY","ITALY","2020-01-16","2999-12-31","2020-01-19","2020-01-16","2999-12-31","2020-01-21","Han Hui","2020-01-17","42587","7年",,"2016_Filing_I_国械备20161207号","Approved","设备","器械","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司"," "," ","Aptio","否","是","否","是",,,"2020-01-19",,"43846","43846","2020-01-21",,,"4602","2023-02-14 16:41","TANG, XU","CAI","国械备20161207号"
"Syva","全自动生化分析仪","Clinical Chemistry Analyzer",,"6002-380 全自动生化分析仪_Viva-E","6002-380U","10461226","03661540600050","1",,"Viva-E ","国械注进20192221972","2019-04-15","2019-04-15","2024-04-14","艾利泰克集团","ELITechGroup B.V.","ELITech","Van Rensselaerweg 4 6956 AV Spankeren The Netherlands","Netherlands","Van Rensselaerweg 4 6956 AV Spankeren The Netherlands","Netherlands","2014-12-04","2019-09-14","2015-01-05","2014-12-04","2019-09-14","2015-01-05","Lily","2015-01-04","6002-380-410 V4.1","6.3年",," 
2017_New Product_II_国械注进20172405163
2017_Renewal_II_国械注进20172406364
2019_Renewal_II_国械注进20192221972","Approved","设备","器械","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司"," ","原注册证编号：国食药监械（进）字2014第2404372号。","6002-380 全自动生化分析仪_Viva-E","否","是","否","否",,,"2015-01-05",,"41977","0","2015-01-05",,,"4554","2023-02-14 16:40","TANG, XU","HHS","国械注进20192221972"
"POC:Blood Gas","二氧化碳电极","pCO2 Sensor","2011-03-22","pCO2 Sensor 05065729","05065729 ","10321857","00630414492667","1",,"1个/盒","国械注进20172226182","2021-11-26","2022-07-07","2027-07-06","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, NY 10591 USA","Tarrytown","Northern Road, Chilton Industrial Estate, Sudbury, Suffolk CO10 2XQ, United Kingdom","Sudbury","2022-07-07","2027-07-06","2022-06-15","2022-07-07","2027-07-06","2022-06-15","Liu Liming","2021-12-25","No IFU",,,"2017_Renewal_II_国械注进20172406182","Approved","设备","器械","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司"," ","""原注册证编号：国械注进20172406182 延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。""","pCO2 Sensor 05065729","是","否","是","否",,,"2999-12-31",,"0","0","2999-12-31",,,"4636","2023-02-14 16:28","TANG, XU","POC","国械注进20172226182"
"ADVIA Chem","氯电极","ISE electrode-CL(Chloride)","2013-03-14","Cl","07097504(073-0049-01)","10309439","00630414482330","1",,"1个/盒","国械注进20162224299","2021-04-26","2021-04-26","2026-04-25","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, NY 10591, USA","Tarrytown","3-1-2 Musashino, Akishima-City, Tokyo 196-8558, Japan","Japan","2021-04-26","2026-04-25","2021-05-27","2021-04-26","2026-04-25","2021-05-27","Zhang Tingting","2021-05-26","10493971_EN, Rev. E. 2011.01",,,"2021_Renewal_II_国械注进20162224299","Approved","设备","器械","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司"," ","原注册证编号：国械注进20162404299","Cl","是","否","是","否",,,"2021-05-27",,"10309439_07097504(073‑0049‑01)(XPT)_SHD_20210426_CNA / 10309439_07097504(073-0049-01)_SHD_20210426_CNA","10309439_07097504(073-0049-01)_SHD_20210426_CNB","2021-05-27",,,"5066","2023-02-14 16:28","TANG, XU","CAI","国械注进20162224299"
"ADVIA Chem","钾电极","ISE electrode-K(Potassium)","2013-04-02","K","06135445(073-0050-01)","10309440","00630414482323","1",,"1个/盒","国械注进20162224300","2021-03-08","2021-03-08","2026-03-07","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, NY 10591, USA","Tarrytown","3-1-2 Musashino, Akishima-City, Tokyo 196-8558, Japan","Japan","2021-03-08","2026-03-07","2021-04-08","2021-03-08","2026-03-07","2021-04-08","Zhang Tingting","2021-04-06","No IFU",,,"2021_Renewal_II_国械注进20162224300","Approved","设备","器械","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司"," ","""原注册证编号：国械注进20162404300 延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。""","K","是","否","是","否",,,"2021-04-08",,"10309440_06135445(073-0050-01)(XPT)_SHD_20210308_CNA / 10309440_06135445(073-0050-01)_SHD_20210308_CNA","10309440_06135445(073-0050-01)_SHD_20210308_CNB","2021-04-08",,,"5067","2023-02-14 16:28","TANG, XU","CAI","国械注进20162224300"
"ADVIA Chem","参比电极","ISE Reference electrode","2013-10-16","ISE Reference Solution","10309465","10309465","00630414478654","1",,"1个/盒","国械注进20172221240","2021-11-04","2022-04-28","2027-04-27","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","3-1-2 Musashino, Akishima-City, Tokyo 196-8558, Japan","Japan","2022-04-28","2027-04-27","2022-03-08","2022-04-28","2027-04-27","2022-03-08","Zhang Tingting","2021-11-22","No IFU",,,"0","Approved","设备","器械","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司"," ","""原注册证编号：国械注进20172401240 延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。""","ISE Reference Solution","是","否","是","否",,,"2022-03-08",,"10309465(XPT)_SHD_20220428_CNA / 10309465_SHD_20220428_CNA","10309465_SHD_20220428_CNB","2022-03-08",,,"5080","2023-02-14 16:28","TANG, XU","CAI","国械注进20172221240"
"POC:EPOC","一次性使用微量采血吸管 epoc Care-Fill Capillary Tubes","epoc Care-Fill Capillary Tubes","2016-09-13","Cap tubes  l类","10736380","10736380","00809708041137","1",,"90μL/支,10支/盒,5盒/包","国械备20161420号","2018-12-07","2018-12-07","2999-12-31","加拿大艾博科有限公司","Epocal Inc.","Epocal Inc","2060 Walkley Road, Ottawa, Ontario, K1G 3P5 Canada","Ottawa, Canada","855 Brookfield Road, Suite 101, Ottawa, Ontario, K1V 2S5 Canada","Ottawa, Canada","2018-12-07","2999-12-31","2018-03-13","2018-12-07","2999-12-31","2018-03-13","Wu Xing","2018-03-13",,,,"0","Approved","设备","器械","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司"," "," ","Cap tubes  l类","是","否","是","否",,,"2018-03-13",,"10736380_EPOC_20181207_CNA","10736380_EPOC_20181207_CNB","2018-03-13",,,"5562","2023-02-14 16:28","TANG, XU","POC","国械备20161420号"
